probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng
1.0,2391432017976811136,-3.871,49.43056,49.5819009610725,0.0035131487249744,-1.49264395103626,1.49615709976123,351.50153,-21.709976,17.1805000305176,16.347900390625,15.974100112915,15.7940998077393,15.6354999542236,16.370113,17.021221,15.608847,-99.0,1.0,0.0,19.0,0.222670899635792,-1.52910689091077,1.0,-4019.84816326001,48004.074244898,1.0,-3871.0,49430.56,NA,P,-0.0171283185840708,0.218719292035398,NA,NA,NA,NA
2.0,2382377062981538816,-7.32035,-120.00644,120.229502060002,1.63975093314898,1.50987217431409,0.12987875883489,351.4852,-22.434656,18.0662994384766,17.4050006866455,17.1063995361328,16.9820003509521,16.8729000091553,17.448277,17.96015,16.753742,-99.0,1.0,0.0,19.0,-1.46607347391638,-3.30868528417501,1.0,-7710.42816325598,-115773.605755102,1.0,-7320.35,-120006.44,NA,P,-0.0323909292035398,-0.531001946902655,NA,NA,NA,NA
3.0,2385392950361860096,-148.79448,-57.2402,159.424708795439,-1.30182291327854,0.367241475350276,4.61412091855077,350.83667,-22.163963,18.3619003295898,17.6653003692627,17.3852005004883,17.2598991394043,17.1466999053955,17.729126,18.293762,17.050165,-99.0,1.0,0.0,19.0,4.69655956166132,-7.55273803589893,1.0,-154278.208163255,-54596.9877551015,1.0,-148794.48,-57240.2,NA,P,-0.658382654867257,-0.253275221238938,NA,NA,NA,NA
4.0,2391425283468359808,41.89749,49.65732,64.9711405000905,3.53221794245219,4.01154485090506,5.80385839872671,351.71304,-21.709192,18.3211994171143,17.4347991943359,16.9437007904053,16.6935005187988,16.521900177002,17.461418,18.13895,16.54098,-99.0,1.0,0.0,19.0,2.18592278196232,-8.91570734107343,1.0,43781.4118367345,48181.2582448979,1.0,41897.49,49657.32,NA,P,0.185387123893805,0.219722654867257,NA,NA,NA,NA
5.0,2385396833012264192,-67.60316,-70.92942,97.9855594642496,1.98190580675596,0.809404220392381,1.17250158636358,351.20636,-22.225727,18.368200302124,17.6758995056152,17.3827991485596,17.255500793457,17.1389999389648,17.72497,18.280373,17.025616,-99.0,1.0,0.0,19.0,3.99229811240477,-1.48975596253324,1.0,-70728.2681632565,-68555.6517551015,1.0,-67603.16,-70929.42,NA,P,-0.299129026548673,-0.313846991150442,NA,NA,NA,NA
6.0,2388439525283766144,114.6119,32.04752,119.008113840025,3.92601982505889,3.41424684823877,0.511772976820125,352.04666,-21.784746,18.3202991485596,17.2343006134033,16.7299003601074,16.5072994232178,16.3808994293213,17.238873,18.056692,16.374887,-99.0,1.0,0.0,19.0,-2.04661757941003,6.40906963077848,1.0,119179.531836734,31106.0542448986,1.0,114611.9,32047.52,NA,P,0.507132300884956,0.141803185840708,NA,NA,NA,NA
7.0,2385397661941026176,-34.98303,-66.10524,74.7911434826243,-0.506307589357054,1.08406089593158,4.69281682189095,351.3571,-22.205688,17.9834995269775,17.1033992767334,16.7521991729736,16.5970993041992,16.4529991149902,17.158672,17.812746,16.38774,-99.0,1.0,0.0,19.0,3.17709139202217,-6.87902396594212,1.0,-36661.02816326,-64026.8377551014,1.0,-34983.03,-66105.24,NA,P,-0.154792168141593,-0.292501061946903,NA,NA,NA,NA
8.0,2385372235734637824,-92.05505,-93.63311,131.306098558957,2.17846459536819,0.793896400499022,1.38456819486917,351.09473,-22.320932,17.8567008972168,16.7117004394531,16.1718997955322,15.938099861145,15.7847995758057,16.69877,17.50673,15.802766,-99.0,1.0,0.0,19.0,0.828201671977452,-16.6961837029558,1.0,-95956.6481632545,-90071.9817551015,1.0,-92055.05,-93633.11,NA,P,-0.407323230088496,-0.414305796460177,NA,NA,NA,NA
9.0,2388399839785347968,95.4241,-30.41575,100.154264556595,3.78833606854855,2.83303049651988,0.955305572028673,351.96005,-22.052013,19.0146007537842,17.8680992126465,17.1886005401611,16.8733005523682,16.6837997436523,17.79557,18.783339,16.812899,-99.0,1.0,0.0,19.0,7.58596480448788,-18.2066419990535,1.0,99605.6718367448,-29296.2877551014,1.0,95424.1,-30415.75,NA,P,0.422230530973451,-0.13458296460177,NA,NA,NA,NA
10.0,2391502734613726464,-97.09127,122.52973,156.333775762264,0.0963215511401989,-0.900713199086468,0.997034750226667,351.07626,-21.400997,18.4682006835938,17.8246002197266,17.5625991821289,17.4379997253418,17.320499420166,17.882627,18.433983,17.190617,-99.0,1.0,0.0,19.0,-1.50845579158169,-2.64811220612623,1.0,-100130.868163263,117833.328244898,1.0,-97091.27,122529.73,NA,P,-0.429607389380531,0.542166946902655,NA,NA,NA,NA
11.0,2385362576353008384,-111.2235,-140.66116,179.321579529056,2.48712787416207,0.901739995988357,1.58538787817371,351.00955,-22.516466,17.513500213623,16.6364002227783,16.2766990661621,16.0918998718262,15.9696998596191,16.687567,17.34966,15.92187,-99.0,1.0,0.0,19.0,8.4055972462357,-8.04641688109536,1.0,-115207.328163263,-134262.665755102,1.0,-111223.5,-140661.16,NA,P,-0.492139380530973,-0.622394513274336,NA,NA,NA,NA
12.0,2391445658793276160,7.70157,106.36942,106.647867731152,2.95847979145352,4.6401111199096,4.60155397872351,351.555,-21.46733,17.7523994445801,16.9874992370605,16.6895008087158,16.5729999542236,16.4766998291016,17.053204,17.638699,16.342545,-99.0,1.0,0.0,19.0,7.73060858397813,-7.83225886124042,1.0,8064.37183674097,102842.070244898,1.0,7701.57,106369.42,NA,P,0.0340777433628319,0.470661150442478,NA,NA,NA,NA
13.0,2388414962365569792,110.31649,12.79089,111.055548411199,0.882307556444453,3.25702443311094,3.9084684305131,352.02765,-21.866978,16.8292999267578,15.7299995422363,15.2011003494263,14.9788999557495,14.8156003952026,15.714747,16.525953,14.83068,-99.0,1.0,0.0,19.0,3.97901361670977,-0.750317168477952,1.0,114883.271836738,12521.6222448984,1.0,110316.49,12790.89,NA,P,0.488126061946903,0.0565968584070796,NA,NA,NA,NA
14.0,2391495141111578752,-41.11049,115.01268,122.139219535833,3.47565156912063,-1.22750612432171,4.70315769344234,351.33096,-21.431175,16.4426002502441,15.5139999389648,15.1429996490479,14.9806003570557,14.8486995697021,15.563348,16.241632,14.776414,-99.0,1.0,0.0,19.0,1.85157165037886,4.08236099916661,1.0,-42568.6681632595,111013.100244898,1.0,-41110.49,115012.68,NA,P,-0.18190482300885,0.508905663716814,NA,NA,NA,NA
15.0,2385416624220969728,-86.79947,-14.88013,88.0656928724109,-0.736562533266307,0.169780745778961,5.37684202813432,351.11826,-21.985579,16.8649997711182,16.13330078125,15.8718996047974,15.7574996948242,15.682900428772,16.20217,16.7469,15.521031,-99.0,1.0,0.0,19.0,11.9953769879289,-6.31102877737611,1.0,-90638.8681632559,-14282.203755102,1.0,-86799.47,-14880.13,NA,P,-0.384068451327434,-0.0658412831858407,NA,NA,NA,NA
16.0,2382401866417328384,-8.75366,-49.20537,49.9779451381557,-0.714598615656718,1.39473773997262,4.17384895155025,351.47858,-22.133766,16.5921993255615,15.8801002502441,15.5412998199463,15.3942003250122,15.2779998779297,15.8968,16.475275,15.183487,-99.0,1.0,0.0,19.0,-2.45912476680068,-3.80778188678718,1.0,-9206.54816325555,-47772.465755102,1.0,-8753.66,-49205.37,NA,P,-0.0387330088495575,-0.217722876106195,NA,NA,NA,NA
17.0,2388386989243317760,70.31336,-81.08304,107.323939408369,3.86435204538434,2.28517847466926,1.57917357071508,351.84412,-22.268793,19.0543994903564,17.8243999481201,16.6938991546631,16.2122993469238,15.9499998092651,17.417103,18.71303,16.28881,-99.0,1.0,0.0,19.0,-30.7442256523771,-9.41819377793628,1.0,73405.4918367339,-78288.5677551014,1.0,70313.36,-81083.04,NA,P,0.311121061946903,-0.358774513274336,NA,NA,NA,NA
18.0,2382384450325325568,49.08087,-95.9664,107.789061267444,1.20988154567468,2.04355246182809,5.44951439102618,351.74603,-22.33256,18.4253005981445,17.3448009490967,16.8409996032715,16.6271991729736,16.4817008972168,17.345491,18.130922,16.48271,-99.0,1.0,0.0,19.0,-12.5540788162231,-10.9403758686801,1.0,51237.1518367437,-92699.9097551019,1.0,49080.87,-95966.4,NA,P,0.217171991150443,-0.424630088495575,NA,NA,NA,NA
19.0,2391483145267518592,-81.16385,68.15553,105.984653683462,-0.460344114637638,-0.698500130465597,0.238156015827959,351.14578,-21.630322,18.0093002319336,17.3096008300781,17.0324001312256,16.917200088501,16.8080005645752,17.371584,17.936752,16.690166,-99.0,1.0,0.0,19.0,7.44621709413314,4.84568534219881,1.0,-84419.3481632601,66005.8782448984,1.0,-81163.85,68155.53,NA,P,-0.359132079646018,0.30157314159292,NA,NA,NA,NA
